#--------------------------------------
#Type: supine : PUMP
#Start time: 9.40.12.511
#End time: 9.44.03.441
#Calculated best PEEP: 20.0499
#Algorithm used for best PEEP calculation: Finding best PEEP around descending minimum stiffness with respect to PIP limit
#PIP limit for best PEEP calculation: 35.0000
#Values ascending: 
#PEEP:  18.0000 22.0000 26.0000
#PIP:  30.7100 36.0000 41.3600
#Stiffness:  18.5196 20.3540 23.1927
#Values descending: 
#PEEP:  26.0000 22.0000 18.0000
#PIP:  41.3600 35.5000 30.8100
#Stiffness:  23.1927 20.2194 18.4221
#--------------------------------------
#Raw data of breath cycles used in calculation: 
BS, S:5767,
-0.84, 19.46
50.82, 19.96
49.43, 22.59
49.03, 25.26
48.39, 25.57
46.75, 27.06
46.32, 26.68
45.60, 27.48
44.83, 27.40
43.67, 27.93
43.61, 28.00
42.40, 28.31
40.98, 28.63
41.30, 28.77
39.36, 29.03
39.23, 29.05
37.54, 29.29
37.56, 29.31
36.19, 29.54
35.92, 29.71
34.56, 29.80
34.13, 29.89
33.82, 30.06
32.44, 30.14
31.61, 29.98
31.10, 29.95
29.79, 30.20
29.58, 30.31
28.22, 30.47
26.53, 30.56
26.99, 30.48
25.96, 30.71
24.25, 30.65
24.29, 30.55
23.16, 30.79
22.01, 30.65
21.64, 30.64
20.28, 30.81
19.62, 30.66
18.93, 30.81
18.31, 30.73
17.25, 30.79
15.99, 30.74
15.42, 30.71
14.44, 30.81
13.64, 30.73
13.13, 30.79
12.19, 30.89
11.31, 30.82
10.56, 30.89
9.56, 30.90
8.95, 30.97
7.88, 30.98
7.08, 30.90
6.37, 31.04
5.31, 30.98
-33.49, 30.87
-49.41, 29.02
-54.83, 25.52
-47.76, 23.21
-51.65, 22.84
-48.39, 22.44
-48.94, 22.45
-46.88, 22.05
-44.82, 22.06
-42.83, 21.73
-41.59, 21.75
-40.27, 21.53
-38.01, 21.43
-36.45, 21.22
-34.84, 21.24
-34.39, 21.22
-33.95, 21.11
-34.18, 20.97
-33.57, 20.94
-32.73, 20.90
-30.66, 20.84
-29.99, 20.73
-27.87, 20.75
-26.79, 20.49
-25.85, 20.60
-24.02, 20.48
-23.86, 20.55
-23.55, 20.54
-22.64, 20.35
-21.06, 20.38
-20.20, 20.37
-19.69, 20.28
-19.00, 20.33
-18.62, 20.24
-18.13, 20.23
-17.12, 20.12
-15.98, 20.01
-14.97, 19.98
-14.55, 20.05
-13.87, 20.12
-13.49, 20.05
